"white_pop","black_pop","hisp_pop","pop_total","n_ep_w","n_ep_b","n_ep_q","pred_white","pred_black","pred_hisp"
51658,1909,3519,57086,1,1,1,0,2,0
49538,1334,2764,53636,1,1,1,0,4,1
63810,4403,7832,76045,55,15,18,1,1,0
11702,1291,2191,15184,12,6,1,0,0,0
53084,1774,4000,58858,5,3,1,0,5,0
33211,3070,5785,42066,1,1,1,0,1,1
163474,4804,13304,181582,1,2,5,0,0,0
77140,3391,6789,87320,1,1,1,0,0,0
110162,6839,8463,125464,1,1,1,2,10,3
83698,2380,10680,96758,1,1,1,0,0,0
124869,4822,9238,138929,1,1,3,2,24,5
70217,2459,9287,81963,1,1,1,0,0,0
32153,4399,20791,57343,1,1,1,0,0,0
50245,6080,5183,61508,1,1,1,1,8,3
45245,3655,5948,54848,3,1,1,0,0,0
94554,3195,49986,147735,3,4,8,3,7,8
35650,2464,30293,68407,1,1,1,2,0,1
63642,6213,16675,86530,1,1,5,1,12,8
50020,2575,7827,60422,1,1,1,0,0,0
56706,3672,12385,72763,1,1,1,3,0,0
102714,4746,13451,120911,2,1,1,14,8,9
87356,1074,8441,96871,1,1,1,0,0,0
